Artist,Genre,key,mode,valence,tempo,year,speechiness,instrumentalness,time_signature
Dionne Warwick,Pop,A#,Major,0.0884,116.16,2013.0,0.0371,0.0105,4.0
Dionne Warwick,Pop,D#,Minor,0.5760000000000001,137.446,2018.0,0.0328,0.000242,4.0
Céline Dion,Pop,C,Minor,0.5479999999999999,92.044,2000.0,0.0839,0.0,4.0
Shakira,Pop,F#,Minor,0.93,130.92600000000002,2017.0,0.0351,1.09e-06,4.0
Shakira,Pop,F#,Minor,0.78,130.97899999999998,2019.0,0.0632,0.0247,4.0
Jennifer Lopez,Pop,C#,Major,0.182,111.882,2007.0,0.0281,0.0,4.0
Big Time Rush,Pop,E,Major,0.767,202.013,2013.0,0.087,0.0,4.0
George Michael,Pop,A#,Minor,0.894,128.421,2006.0,0.0395,1.18e-06,4.0
George Michael,Pop,E,Minor,0.28300000000000003,139.908,2006.0,0.0669,1.42e-05,4.0
Little Mix,Pop,A,Minor,0.7829999999999999,77.024,2018.0,0.0954,0.0,4.0
Rick Springfield,Pop,B,Major,0.794,102.175,2007.0,0.0592,8.08e-05,4.0
Eliana,Pop,G,Major,0.963,135.071,1993.0,0.0312,0.0,4.0
Eliana,Pop,E,Major,0.209,165.942,2004.0,0.0384,3.84e-06,4.0
Ricky Martin,Pop,G,Minor,0.855,127.037,2000.0,0.0311,0.0,4.0
Sandy,Pop,C,Major,0.967,125.303,2000.0,0.0492,6.08e-06,4.0
Anitta,Pop,A#,Minor,0.7609999999999999,98.999,2020.0,0.0507,6.78e-06,4.0
Danni Carlos,Pop,G,Major,0.35700000000000004,113.961,2008.0,0.0315,0.00122,4.0
Laura Pausini,Pop,B,Major,0.199,155.923,2009.0,0.0374,0.0,4.0
George Michael,Pop,C,Major,0.96,120.929,2006.0,0.108,0.0,4.0
Carole King,Pop,G,Major,0.198,78.675,2007.0,0.0264,0.00354,4.0
Rick Astley,Pop,B,Major,0.222,98.993,2005.0,0.0281,0.00273,4.0
Dionne Warwick,Pop,A,Minor,0.334,124.205,2013.0,0.0343,0.0,4.0
The Cardigans,Pop,G,Major,0.231,106.917,2004.0,0.0261,0.00029,4.0
Dionne Warwick,Pop,C#,Minor,0.421,137.82,2013.0,0.0447,0.0,4.0
Mariah Carey,Pop,D#,Major,0.182,148.24,1991.0,0.0355,7.59e-06,3.0
Julieta Venegas,Pop,B,Minor,0.573,102.878,1998.0,0.0296,0.0,3.0
Julieta Venegas,Pop,C,Major,0.912,116.994,2003.0,0.0285,0.0,4.0
Julieta Venegas,Pop,C,Major,0.443,123.883,2008.0,0.0457,0.0,4.0
Prefab Sprout,Pop,G,Major,0.154,123.918,1997.0,0.0304,0.000238,3.0
Cody Simpson,Pop,G#,Minor,0.754,102.105,2020.0,0.0583,0.0,4.0
Fifth Harmony,Pop,C#,Minor,0.13,124.008,2017.0,0.0371,0.0,4.0
Leona Lewis,Pop,D,Major,0.57,88.016,2007.0,0.0407,0.0,4.0
Madonna,Pop,G,Major,0.8340000000000001,133.266,1984.0,0.0367,0.000196,4.0
Natasha Bedingfield,Pop,D,Major,0.503,134.909,2008.0,0.0507,0.0,4.0
New Kids On The Block,Pop,A#,Minor,0.909,109.278,1986.0,0.0513,6.61e-05,4.0
Sia,Pop,E,Major,0.157,104.039,2016.0,0.033,5.19e-05,4.0
Prefab Sprout,Pop,A,Major,0.363,172.42,2009.0,0.0314,0.0041600000000000005,4.0
David Archuleta,Pop,E,Major,0.298,76.042,2008.0,0.0291,0.0,4.0
Jessica Simpson,Pop,A#,Major,0.235,149.326,2003.0,0.0358,0.0,4.0
Miley Cyrus,Pop,F,Major,0.494,121.981,2020.0,0.0313,0.0,4.0
Cher,Pop,F#,Major,0.249,82.402,1995.0,0.0411,0.00017,4.0
Christina Aguilera,Pop,F,Minor,0.385,175.692,2019.0,0.0858,0.0,4.0
Westlife,Pop,C,Major,0.201,128.024,2000.0,0.032,0.0,4.0
Shakira,Pop,F#,Minor,0.8909999999999999,140.033,2005.0,0.107,0.0,4.0
Eliana,Pop,B,Major,0.8859999999999999,143.833,2001.0,0.0324,1.9e-06,4.0
Nancy Sinatra,Pop,D,Major,0.327,103.155,2009.0,0.0352,1.27e-06,4.0
Prefab Sprout,Pop,C,Major,0.261,119.864,1997.0,0.0299,1.7899999999999998e-05,4.0
Belle & Sebastian,Pop,A,Minor,0.463,116.051,2019.0,0.039,7.609999999999999e-05,4.0
Nancy Sinatra,Pop,D,Major,0.883,80.014,2006.0,0.0481,7.699999999999999e-06,4.0
Dionne Warwick,Pop,A,Major,0.877,94.648,1967.0,0.307,8.27e-06,4.0
Dionne Warwick,Pop,A,Major,0.856,94.293,2016.0,0.326,5.920000000000001e-05,4.0
Meghan Trainor,Pop,A,Major,0.6779999999999999,155.87,2020.0,0.181,4.66e-06,4.0
Michael Jackson,Pop,A#,Major,0.773,106.069,1987.0,0.0705,7.670000000000001e-05,4.0
Michael Jackson,Pop,C#,Major,0.8220000000000001,110.128,2005.0,0.0674,0.00571,4.0
Danni Carlos,Pop,D,Major,0.232,172.171,2003.0,0.0339,0.0,4.0
Nancy Sinatra,Pop,C,Major,0.5529999999999999,109.093,2006.0,0.0264,0.713,3.0
Joni Mitchell,Pop,G,Major,0.0799,96.73,2000.0,0.0338,0.0096,4.0
Julieta Venegas,Pop,F,Major,0.5670000000000001,168.282,1998.0,0.0298,5.74e-06,3.0
Shakira,Pop,C,Major,0.201,130.078,2010.0,0.0334,0.0,4.0
Britney Spears,Pop,C,Major,0.794,111.0,2001.0,0.0375,0.000814,4.0
Shakira,Pop,C,Major,0.575,97.967,1995.0,0.0308,1.81e-06,4.0
Shakira,Pop,B,Major,0.411,99.956,2019.0,0.0316,0.0017,4.0
Austin Mahone,Pop,D,Major,0.708,113.96,2019.0,0.168,0.0,4.0
Christopher Cross,Pop,F#,Major,0.774,124.292,1988.0,0.0309,0.00899,4.0
Dionne Warwick,Pop,F,Major,0.537,104.22,1992.0,0.035,0.0,4.0
Bread,Pop,A,Major,0.833,173.373,1969.0,0.106,0.00194,4.0
Goldfrapp,Pop,G#,Major,0.418,114.018,2018.0,0.0275,0.0255,4.0
Dionne Warwick,Pop,D#,Major,0.203,138.029,2006.0,0.0271,3.15e-06,3.0
Dionne Warwick,Pop,G#,Major,0.325,78.685,1999.0,0.0255,7.96e-06,3.0
Dionne Warwick,Pop,C#,Major,0.221,137.785,2006.0,0.0275,0.0,3.0
