Artist,Genre,key,mode,valence,tempo,year,speechiness,instrumentalness,time_signature
Gucci Mane,Hip Hop,D,Major,0.438,150.012,2019.0,0.4,0.0,4.0
Xzibit,Hip Hop,C,Minor,0.8079999999999999,116.908,2002.0,0.17,0.0,4.0
Common,Hip Hop,C#,Major,0.87,88.552,2007.0,0.355,0.0,4.0
E-40,Hip Hop,A#,Minor,0.616,94.031,2003.0,0.416,0.0,4.0
Soulja Boy,Hip Hop,G,Minor,0.0533,139.781,2018.0,0.377,0.0,4.0
Justin Timberlake,Hip Hop,F,Minor,0.813,101.975,2018.0,0.0346,5.07e-05,4.0
Wu-Tang Clan,Hip Hop,B,Major,0.518,87.554,1993.0,0.36,0.0,4.0
Soulja Boy,Hip Hop,F,Major,0.5379999999999999,144.842,2007.0,0.204,0.0,4.0
Dustin,Hip Hop,F,Minor,0.962,123.009,2005.0,0.0642,0.0,4.0
E-40,Hip Hop,E,Minor,0.7959999999999999,80.058,1993.0,0.3,0.0,4.0
E-40,Hip Hop,A#,Minor,0.772,98.754,1994.0,0.19,0.0,4.0
Lil Mama,Hip Hop,A,Minor,0.5489999999999999,150.01,2008.0,0.142,7.099999999999999e-05,4.0
Cardi B,Hip Hop,F,Minor,0.239,88.057,2017.0,0.247,0.0,4.0
Foxy Brown,Hip Hop,C#,Major,0.722,83.35700000000001,2008.0,0.745,2.28e-06,4.0
Black Moon,Hip Hop,G,Major,0.47,96.803,1996.0,0.233,3.59e-05,4.0
Sticky Fingaz,Hip Hop,A#,Minor,0.512,171.84900000000005,2020.0,0.469,0.0,4.0
Black Moon,Hip Hop,D#,Minor,0.8959999999999999,80.01899999999998,2005.0,0.35,0.0,4.0
Black Moon,Hip Hop,C#,Minor,0.556,92.07,1996.0,0.412,8.45e-05,4.0
Wiz Khalifa,Hip Hop,F#,Minor,0.4,149.909,2006.0,0.455,0.0,4.0
Wyclef Jean,Hip Hop,C#,Major,0.826,189.456,2000.0,0.601,0.0,4.0
